,product_id,products_category,products_name,products_price,scrapy_datetime,stlye_id,color_id,color_name,Composition
0,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Shell: Cotton 99%, Spandex 1%"
1,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
2,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Shell: Cotton 99%, Spandex 1%"
3,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
4,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Denim blue,"Shell: Cotton 99%, Spandex 1%"
5,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
6,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark blue,"Shell: Cotton 99%, Spandex 1%"
7,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark blue,"Pocket lining: Polyester 65%, Cotton 35%"
8,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark denim blue,"Shell: Cotton 99%, Spandex 1%"
9,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
10,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark gray,"Shell: Cotton 99%, Spandex 1%"
11,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark gray,"Pocket lining: Polyester 65%, Cotton 35%"
12,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,White,"Shell: Cotton 99%, Spandex 1%"
13,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,White,"Pocket lining: Polyester 65%, Cotton 35%"
14,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Black,"Shell: Cotton 99%, Spandex 1%"
15,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Black,"Pocket lining: Polyester 65%, Cotton 35%"
16,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Shell: Cotton 99%, Spandex 1%"
17,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Light denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
18,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Denim blue,"Shell: Cotton 99%, Spandex 1%"
19,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
20,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark blue,"Shell: Cotton 99%, Spandex 1%"
21,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark blue,"Pocket lining: Polyester 65%, Cotton 35%"
22,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark denim blue,"Shell: Cotton 99%, Spandex 1%"
23,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark denim blue,"Pocket lining: Polyester 65%, Cotton 35%"
24,1024256001,men_jeans_slim,Slim Jeans,19.99,2022-04-24-11-21:30,1024256,001,Dark gray,"Shell: Cotton 99%, Spandex 1%"
